,author,description,publishedAt,source,title,url,urlToImage
2929,news.com.au,"We were warned. On June 23, 1988, a sultry day in Washington, James Hansen told the US Congress and the world that global warming wasn’t approaching — it had already arrived.",2018-06-19T15:07:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",NASA's chilling 30-year-old warning,http://www.foxnews.com/science/2018/06/19/nasas-chilling-30-year-old-warning.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/nasas-chilling-30-year-old-warning/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529421337418.jpg?ve=1
2930,Robert Gearty,"Fox News Illegal immigrant charged with killing two Miami women, dumping bodies on street Fox News An illegal immigrant has been charged with killing two Miami prostitutes and dumping their bodies on the street, according to reports. Juan Carols Hernandez-Cas…",2018-06-19T15:01:19Z,"{'id': 'fox-news', 'name': 'Fox News'}","Illegal immigrant charged with killing two Miami women, dumping bodies on street - Fox News",http://www.foxnews.com/us/2018/06/19/illegal-immigrant-charged-with-killing-two-miami-women-dumping-bodies-on-street.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/us/2018/06/19/illegal-immigrant-charged-with-killing-two-miami-women-dumping-bodies-on-street/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529419731250.jpg?ve=1
2931,,The West Point graduate who posed with a Communism cap is officially out of the U.S. Army. A look at why he was discharged.,2018-06-19T14:56:16Z,"{'id': 'fox-news', 'name': 'Fox News'}",West Point graduate who posed with Communism cap discharged,http://video.foxnews.com/v/5799287777001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799297918001_5799287777001-vs.jpg
2932,Greg Norman,"Fox News Hamas' 'terror kites' and 'arson balloons' latest destructive weapons in war against Israel Fox News May 11, 2018: Palestinian demonstrators fly a flaming kite to be thrown at the Israeli side during a protest demanding the right to return to their h…",2018-06-19T14:39:37Z,"{'id': 'fox-news', 'name': 'Fox News'}",Hamas' 'terror kites' and 'arson balloons' latest destructive weapons in war against Israel - Fox News,http://www.foxnews.com/world/2018/06/19/hamas-terror-kites-and-arson-balloons-latest-destructive-weapons-in-war-against-israel.html,http://a57.foxnews.com/images.foxnews.com/content/dam/fox-news/images/2018/06/19/gaza kiite 1 Reuters.jpg.img.png/0/0/1529418900287.png?ve=1
2933,Brooke Singman,"House Oversight Committee Chairman Trey Gowdy scorched James Comey in a blistering opening statement at a high-profile congressional hearing on Tuesday, declaring “we can’t survive with a justice system we don’t trust.”",2018-06-19T14:24:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",Gowdy scorches Comey in blistering opening statement at IG hearing,http://www.foxnews.com/politics/2018/06/19/gowdy-scorches-comey-in-blistering-opening-statement-at-ig-hearing.html,http://a57.foxnews.com/media.foxbusiness.com/BrightCove/854081161001/201806/2099/0/0/854081161001_5799200215001_5799193387001-vs.jpg?ve=1
2934,,Thomas Homan calls on lawmakers to fix the 'broken' immigration system as Democrats take a stand against the zero-tolerance border policy.,2018-06-19T14:17:28Z,"{'id': 'fox-news', 'name': 'Fox News'}",Acting ICE head: Congress needs to do their job,http://video.foxnews.com/v/5799279330001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799281957001_5799279330001-vs.jpg
2935,,Police say front windows of car were roughly open only one inch.,2018-06-19T14:13:44Z,"{'id': 'fox-news', 'name': 'Fox News'}",Mother arrested after leaving three children in hot car,http://video.foxnews.com/v/5799274692001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799276264001_5799274692001-vs.jpg
2936,,U.S. markets dip amid fears of trade war; Sen. Dean Heller reacts to the president's tough tactics.,2018-06-19T14:11:37Z,"{'id': 'fox-news', 'name': 'Fox News'}",Trump threatens China with $200 billion in new tariffs,http://video.foxnews.com/v/5799277706001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799276239001_5799277706001-vs.jpg
2937,Associated Press,The father of a Mongolian model whose murder touched off a scandal in the highest levels of Malaysia's recently ousted ruling party said Tuesday he will ask new Prime Minister Mahathir Mohamad to reopen the investigation into his daughter's death.,2018-06-19T14:10:23Z,"{'id': 'fox-news', 'name': 'Fox News'}",Slain Mongolian model's father seeks Malaysia to reopen case,http://www.foxnews.com/world/2018/06/19/slain-mongolian-models-father-seeks-malaysia-to-reopen-case.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/19/slain-mongolian-models-father-seeks-malaysia-to-reopen-case/_jcr_content/par/featured-media/media-0.img.png/0/0/1529418459192.png?ve=1
2938,Jennifer Earl,"Fox News Queen Elizabeth's granddaughter Zara Tindall gives birth to 2nd child after suffering miscarriage Fox News The royal family is continuing to grow. Queen Elizabeth's granddaughter Zara Tindall just welcomed her second child on Monday, Buckingham Palac…",2018-06-19T14:06:32Z,"{'id': 'fox-news', 'name': 'Fox News'}",Queen Elizabeth's granddaughter Zara Tindall gives birth to 2nd child after suffering miscarriage - Fox News,http://www.foxnews.com/entertainment/2018/06/19/queen-elizabeths-granddaughter-zara-tindall-gives-birth-to-2nd-child-after-suffering-miscarriage.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/entertainment/2018/06/19/queen-elizabeths-granddaughter-zara-tindall-gives-birth-to-2nd-child-after-suffering-miscarriage/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529416458313.jpg?ve=1
2939,James Rogers,"Google has developed an artificial intelligence algorithm that could predict when you’ll die with up to 95 percent accuracy, according to the tech giant’s researchers.",2018-06-19T14:02:26Z,"{'id': 'fox-news', 'name': 'Fox News'}","Google AI can predict when you'll die with 95 percent accuracy, researchers say",http://www.foxnews.com/tech/2018/06/19/google-ai-can-predict-when-youll-die-with-95-percent-accuracy-researchers-say.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/0/0/694940094001_5799220928001_5799217775001-vs.jpg?ve=1
2940,news.com.au,A keeper at Perth Zoo has written a beautiful tribute to the world’s oldest Sumatran orangutan after she passed away at the age of 62.,2018-06-19T16:44:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",Zookeeper's heartfelt tribute to world's oldest Sumatran orangutan,http://www.foxnews.com/science/2018/06/19/zookeepers-heartfelt-tribute-to-worlds-oldest-sumatran-orangutan.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/zookeepers-heartfelt-tribute-to-worlds-oldest-sumatran-orangutan/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529426856203.jpg?ve=1
2941,Brooke Singman,Justice Department Inspector General Michael Horowitz confirmed Tuesday that he is investigating whether FBI official Peter Strzok’s anti-Trump bias factored into the launch of the bureau’s Russia probe.,2018-06-19T16:24:17Z,"{'id': 'fox-news', 'name': 'Fox News'}",IG confirms he is reviewing whether Strzok's anti-Trump bias impacted launch of Russia probe,http://www.foxnews.com/politics/2018/06/19/ig-confirms-is-reviewing-whether-strzoks-anti-trump-bias-impacted-launch-russia-probe.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/0/0/694940094001_5799347387001_5799341265001-vs.jpg?ve=1
2942,"Rafi Letzter, Staff Writer","Scientists in China found a fossil from a giant panda that lived 22,000 years ago. Until they excavated the fossil, reassembled it and analyzed its mitochondrial DNA, biologists had no idea this panda lineage even existed.",2018-06-19T16:14:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",The oldest DNA from giant pandas was just discovered in a cave in China,http://www.foxnews.com/science/2018/06/19/oldest-dna-from-giant-pandas-was-just-discovered-in-cave-in-china.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/oldest-dna-from-giant-pandas-was-just-discovered-in-cave-in-china/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529425949574.jpg?ve=1
2943,,Inspector general Michael Horowitz testifies before joint hearing of the House Judiciary and Oversight Committees on whether anti-Trump FBI agent Peter Strzok's political bias affected the initiation of Special Counsel Robert Mueller's investigation.,2018-06-19T16:05:59Z,"{'id': 'fox-news', 'name': 'Fox News'}",Horowitz reviewing if Strzok's bias affected Russia probe,http://video.foxnews.com/v/5799341265001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799347387001_5799341265001-vs.jpg
2944,,"Investigation Discovery is set to premiere a docuseries about Kelly Cochran, a woman who brutally murdered both her lover and her husband.",2018-06-19T16:02:44Z,"{'id': 'fox-news', 'name': 'Fox News'}",Gruesome murder featured in new Kelly Cochran docuserie,http://video.foxnews.com/v/5799341248001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799344827001_5799341248001-vs.jpg
2945,,Justice Department Inspector General Michael Horowitz gives an opening statement to the House Oversight Committee hearing on his review of the Hillary Clinton email case.,2018-06-19T15:37:55Z,"{'id': 'fox-news', 'name': 'Fox News'}",Horowitz: Comey clearly departed from FBI norms,http://video.foxnews.com/v/5799326090001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799331918001_5799326090001-vs.jpg
2946,Adam Shaw,Fox News UN's scathing reports stoke US concerns about anti-Israel bias Fox News Report shows United Nations members voted with the United States 31 percent of the time over the past year; Claudia Rosett of the Independent Women's Forum reacts. The United Nat…,2018-06-19T15:23:53Z,"{'id': 'fox-news', 'name': 'Fox News'}",UN's scathing reports stoke US concerns about anti-Israel bias - Fox News,http://www.foxnews.com/politics/2018/06/19/uns-scathing-reports-stoke-us-concerns-about-anti-israel-bias.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/05/02/0/0/694940094001_5779643273001_5779644613001-vs.jpg?ve=1
2947,Jennifer Earl,"Fox News Bizarre deep sea creature washes up on Texas beach, puzzles park rangers Fox News An odd-looking fish that lives on the ocean floor shocked Texas park rangers when it washed up on Padre Island National Seashore in Corpus Christi, Texas, last week. Ph…",2018-06-19T15:23:38Z,"{'id': 'fox-news', 'name': 'Fox News'}","Bizarre deep sea creature washes up on Texas beach, puzzles park rangers - Fox News",http://www.foxnews.com/science/2018/06/19/bizarre-deep-sea-creature-washes-up-on-texas-beach-puzzles-park-rangers.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/bizarre-deep-sea-creature-washes-up-on-texas-beach-puzzles-park-rangers/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529419465975.jpg?ve=1
2948,,House Oversight Committee Chairman Trey Gowdy condemns the former FBI director before testimony from Justice Department Inspector General Michael Horowitz on his review of the Hillary Clinton email case.,2018-06-19T15:15:51Z,"{'id': 'fox-news', 'name': 'Fox News'}",Gowdy scorches Comey in opening statement at IG hearing,http://video.foxnews.com/v/5799296016001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799309345001_5799296016001-vs.jpg
2949,news.com.au,"We were warned. On June 23, 1988, a sultry day in Washington, James Hansen told the US Congress and the world that global warming wasn’t approaching — it had already arrived.",2018-06-19T15:07:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",NASA's chilling 30-year-old warning,http://www.foxnews.com/science/2018/06/19/nasas-chilling-30-year-old-warning.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/nasas-chilling-30-year-old-warning/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529421337418.jpg?ve=1
2950,Robert Gearty,"Fox News Illegal immigrant charged with killing two Miami women, dumping bodies on street Fox News An illegal immigrant has been charged with killing two Miami prostitutes and dumping their bodies on the street, according to reports. Juan Carols Hernandez-Cas…",2018-06-19T15:01:19Z,"{'id': 'fox-news', 'name': 'Fox News'}","Illegal immigrant charged with killing two Miami women, dumping bodies on street - Fox News",http://www.foxnews.com/us/2018/06/19/illegal-immigrant-charged-with-killing-two-miami-women-dumping-bodies-on-street.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/us/2018/06/19/illegal-immigrant-charged-with-killing-two-miami-women-dumping-bodies-on-street/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529419731250.jpg?ve=1
2951,,The West Point graduate who posed with a Communism cap is officially out of the U.S. Army. A look at why he was discharged.,2018-06-19T14:56:16Z,"{'id': 'fox-news', 'name': 'Fox News'}",West Point graduate who posed with Communism cap discharged,http://video.foxnews.com/v/5799287777001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799297918001_5799287777001-vs.jpg
2952,Greg Norman,"Fox News Hamas' 'terror kites' and 'arson balloons' latest destructive weapons in war against Israel Fox News May 11, 2018: Palestinian demonstrators fly a flaming kite to be thrown at the Israeli side during a protest demanding the right to return to their h…",2018-06-19T14:39:37Z,"{'id': 'fox-news', 'name': 'Fox News'}",Hamas' 'terror kites' and 'arson balloons' latest destructive weapons in war against Israel - Fox News,http://www.foxnews.com/world/2018/06/19/hamas-terror-kites-and-arson-balloons-latest-destructive-weapons-in-war-against-israel.html,http://a57.foxnews.com/images.foxnews.com/content/dam/fox-news/images/2018/06/19/gaza kiite 1 Reuters.jpg.img.png/0/0/1529418900287.png?ve=1
2953,Brooke Singman,"House Oversight Committee Chairman Trey Gowdy scorched James Comey in a blistering opening statement at a high-profile congressional hearing on Tuesday, declaring “we can’t survive with a justice system we don’t trust.”",2018-06-19T14:24:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",Gowdy scorches Comey in blistering opening statement at IG hearing,http://www.foxnews.com/politics/2018/06/19/gowdy-scorches-comey-in-blistering-opening-statement-at-ig-hearing.html,http://a57.foxnews.com/media.foxbusiness.com/BrightCove/854081161001/201806/2099/0/0/854081161001_5799200215001_5799193387001-vs.jpg?ve=1
2954,,Thomas Homan calls on lawmakers to fix the 'broken' immigration system as Democrats take a stand against the zero-tolerance border policy.,2018-06-19T14:17:28Z,"{'id': 'fox-news', 'name': 'Fox News'}",Acting ICE head: Congress needs to do their job,http://video.foxnews.com/v/5799279330001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799281957001_5799279330001-vs.jpg
2955,,Police say front windows of car were roughly open only one inch.,2018-06-19T14:13:44Z,"{'id': 'fox-news', 'name': 'Fox News'}",Mother arrested after leaving three children in hot car,http://video.foxnews.com/v/5799274692001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799276264001_5799274692001-vs.jpg
2956,,U.S. markets dip amid fears of trade war; Sen. Dean Heller reacts to the president's tough tactics.,2018-06-19T14:11:37Z,"{'id': 'fox-news', 'name': 'Fox News'}",Trump threatens China with $200 billion in new tariffs,http://video.foxnews.com/v/5799277706001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799276239001_5799277706001-vs.jpg
2957,Associated Press,The father of a Mongolian model whose murder touched off a scandal in the highest levels of Malaysia's recently ousted ruling party said Tuesday he will ask new Prime Minister Mahathir Mohamad to reopen the investigation into his daughter's death.,2018-06-19T14:10:23Z,"{'id': 'fox-news', 'name': 'Fox News'}",Slain Mongolian model's father seeks Malaysia to reopen case,http://www.foxnews.com/world/2018/06/19/slain-mongolian-models-father-seeks-malaysia-to-reopen-case.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/19/slain-mongolian-models-father-seeks-malaysia-to-reopen-case/_jcr_content/par/featured-media/media-0.img.png/0/0/1529418459192.png?ve=1
2958,Jennifer Earl,"Fox News Queen Elizabeth's granddaughter Zara Tindall gives birth to 2nd child after suffering miscarriage Fox News The royal family is continuing to grow. Queen Elizabeth's granddaughter Zara Tindall just welcomed her second child on Monday, Buckingham Palac…",2018-06-19T14:06:32Z,"{'id': 'fox-news', 'name': 'Fox News'}",Queen Elizabeth's granddaughter Zara Tindall gives birth to 2nd child after suffering miscarriage - Fox News,http://www.foxnews.com/entertainment/2018/06/19/queen-elizabeths-granddaughter-zara-tindall-gives-birth-to-2nd-child-after-suffering-miscarriage.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/entertainment/2018/06/19/queen-elizabeths-granddaughter-zara-tindall-gives-birth-to-2nd-child-after-suffering-miscarriage/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529416458313.jpg?ve=1
2959,James Rogers,"Google has developed an artificial intelligence algorithm that could predict when you’ll die with up to 95 percent accuracy, according to the tech giant’s researchers.",2018-06-19T14:02:26Z,"{'id': 'fox-news', 'name': 'Fox News'}","Google AI can predict when you'll die with 95 percent accuracy, researchers say",http://www.foxnews.com/tech/2018/06/19/google-ai-can-predict-when-youll-die-with-95-percent-accuracy-researchers-say.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/0/0/694940094001_5799220928001_5799217775001-vs.jpg?ve=1
2960,news.com.au,A keeper at Perth Zoo has written a beautiful tribute to the world’s oldest Sumatran orangutan after she passed away at the age of 62.,2018-06-19T16:44:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",Zookeeper's heartfelt tribute to world's oldest Sumatran orangutan,http://www.foxnews.com/science/2018/06/19/zookeepers-heartfelt-tribute-to-worlds-oldest-sumatran-orangutan.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/zookeepers-heartfelt-tribute-to-worlds-oldest-sumatran-orangutan/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529426856203.jpg?ve=1
